id_code_in_source_dataset,entered_by,source_of_data_literature_contact,contact_person_or_citation,species_genus_sp,field_or_museum,date_captured,month_captured,month_number,method_pcr_q_pcr_histology,bd_positive_blank_or_1,bd_negative_blank_or_1,bd_load_ze_if_q_pcr,bd_its_copies,standard_strain_if_q_pcr,notes_on_methods,locality,simplified_locality,regulation_0_unreg_1_upstream_dam_2_downstream_dam,river_system_watershed,county,boylii_clade,location_moved_1_if_yes,dubious_location_1_if_yes,note_on_location,palmer_z_index,phdi,pdsi,sex_f_m_u,life_stage_a_j_t,svl_mm,weight_g,notes,recap_y_n,identifier_if_recap,does_local_population_density_data_exist_for_this_site_y_n,utm_easting,utm_northing,ct,monthly_average_precip
sk2018.130,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2018,1540857600,10,qPCR,1,NULL,1297791.875,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,24.8,2.1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.131,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2018,1540857600,10,qPCR,1,NULL,108.937,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,F,A,37.2,6.9,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.132,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,10/30/2018,1540857600,10,qPCR,1,NULL,0.171,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23.7,2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.2,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/30/2018,1535587200,8,qPCR,1,NULL,335.805,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19,0.7,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2018.3,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/30/2018,1535587200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,18,0.7,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.02,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,3/21/2019,1553126400,3,qPCR,1,NULL,39810.72,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,33.2,4.8,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.03,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,3/28/2019,1553731200,3,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,51.8,17.8,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.04,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,3/28/2019,1553731200,3,qPCR,1,NULL,21727.01,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,M,A,36,6.1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.132,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,20.4,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.133,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,1,NULL,7313.903,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,21.3,1.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.134,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,21.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.135,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,17.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.138,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.139,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,15,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.140,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,17,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.141,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23,2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.142,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.143,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,25.1,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.144,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,25.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.145,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,18.6,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.146,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,21.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.147,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,17.1,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.148,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,22.2,1.7,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.149,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20,1.9,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.150,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,21.2,2.3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.151,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,1,NULL,18529.62,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,21,1.6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.152,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,1,NULL,5878.68,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,26.5,2.4,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.153,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,18.8,1.3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.154,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,1,NULL,98375.71,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,23.8,1.8,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.155,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20.7,1.2,weighed after transporting to berkeley so less than field weight,N,NULL,NA,NULL,NULL,NA,NA
sk2019.156,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,21.6,1.6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.157,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,1,NULL,2799.762,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20.9,1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.158,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19.2,1.2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.159,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20.4,1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.160,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20.4,0.9,l w egg sacs,N,NULL,NA,NULL,NULL,NA,NA
sk2019.161,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19.4,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.162,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,17,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.163,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,1,NULL,2180.876,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,18,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.164,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,15.7,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.165,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,8/20/2019,1566259200,8,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,21,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.211,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,1607.162,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19.6,2.2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.212,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,15477.988,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,18.5,1.6,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.213,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,22265.708,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20,1.2,became very foamy inside plastic bag,N,NULL,NA,NULL,NULL,NA,NA
sk2019.214,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,291.106,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19.6,1.3,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.215,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,3391.057,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19.5,1.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.217,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,21,2,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.219,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,1695.363,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19.6,1.5,"where two clutch markers remained, still submerged approc 7 cm deep",N,NULL,NA,NULL,NULL,NA,NA
sk2019.220,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,2627.831,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20,1.6,"where two clutch markers remained, still submerged approc 7 cm deep",N,NULL,NA,NULL,NULL,NA,NA
sk2019.221,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,224.849,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,18.8,1.1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.222,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,359.821,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,18.7,1,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.223,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,9419.531,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,20.7,1.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.224,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,3.139,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,21.7,1.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.225,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,J,19.2,1.1,"in roots of willow trees, sculpin mixed in",N,NULL,NA,NULL,NULL,NA,NA
sk2019.226,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,53.678,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,21.5,2.5,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.227,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19.8,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.228,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.229,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,17,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.230,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,1,NULL,43.044,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,18,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.231,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,20.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.232,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19.5,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.233,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,19.3,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.234,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,21.3,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
sk2019.235,sjk,contact,skupferberg@gmail.com,Rana boylii,Field,9/26/2019,1569456000,9,qPCR,NULL,1,0,NULL,Brazil,NA,Alamedaohlone,Alameda,2,Alameda,Alameda,WC,NA,NA,NA,NA,NA,NA,U,T,18.6,NA,NA,N,NULL,NA,NULL,NULL,NA,NA
ARL5300701,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,34,3.3,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300702,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,36,4.6,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300703,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,A,45,8,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300704,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,32,3,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300705,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,M,A,44,9,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300706,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,1,NULL,+,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,33,3.6,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300707,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,30,2.5,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300708,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,A,39,5.5,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300709,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,30,3,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300710,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,30,2.6,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300711,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,36,4.3,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300712,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,A,37,4.6,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300713,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,A,40,6.6,NA,N,NULL,Y,NULL,NULL,NA,NA
ARL5300714,pgj,contact,paul_johnson@nps.gov,Rana boylii,Field,5/30/2007,1180483200,5,PCR,NULL,1,NULL,NULL,JEL 270,Pisces Molecular performed PCR assay for RNA ITS region by 45 cycle single-round PCR amplification using an assay developed by Seanna Annis and modified for greater specificity and sensitivity at Pisces.,Arroyo Leona,Arroyo Leona,0,Leona,Fresno,WC,NA,NA,NA,NA,NA,NA,U,J,30,2,NA,N,NULL,Y,NULL,NULL,NA,NA
